id,title,description,link,image_link,price,availability,condition
629ef730ec8d8342fcae0267:629ef730ec8d8342fcae0270,NEUTRAL 透氣防潑水綁帶奶油餅乾鞋(36-42),版 型 標準版(照原本尺寸購買)   產 地 台灣   鞋 面 防潑水厚織帆布面料   內 裏 除臭活性碳乳膠鞋墊   鞋 底 橡膠防滑刻紋底   重 量 990公克 跟 型     筒 高  筒 圍  踝,https://www.fmshoes.com.tw/products/629ef730ec8d8342fcae0267?variation=629ef730ec8d8342fcae0270,https://img.shoplineapp.com/media/image_clips/66fb9bfabc2cf00011fd2135/original.jpg?1727765497,1180 TWD,in stock,new
629ef730ec8d8342fcae0267:629ef731ec8d8342fcae0272,NEUTRAL 透氣防潑水綁帶奶油餅乾鞋(36-42),版 型 標準版(照原本尺寸購買)   產 地 台灣   鞋 面 防潑水厚織帆布面料   內 裏 除臭活性碳乳膠鞋墊   鞋 底 橡膠防滑刻紋底   重 量 990公克 跟 型     筒 高  筒 圍  踝,https://www.fmshoes.com.tw/products/629ef730ec8d8342fcae0267?variation=629ef731ec8d8342fcae0272,https://img.shoplineapp.com/media/image_clips/66fb9bfabc2cf00011fd2135/original.jpg?1727765497,1180 TWD,in stock,new
629ef730ec8d8342fcae0267:629ef731ec8d8342fcae0274,NEUTRAL 透氣防潑水綁帶奶油餅乾鞋(36-42),版 型 標準版(照原本尺寸購買)   產 地 台灣   鞋 面 防潑水厚織帆布面料   內 裏 除臭活性碳乳膠鞋墊   鞋 底 橡膠防滑刻紋底   重 量 990公克 跟 型     筒 高  筒 圍  踝,https://www.fmshoes.com.tw/products/629ef730ec8d8342fcae0267?variation=629ef731ec8d8342fcae0274,https://img.shoplineapp.com/media/image_clips/66fb9bfabc2cf00011fd2135/original.jpg?1727765497,1180 TWD,in stock,new
629ef730ec8d8342fcae0267:629ef731ec8d8342fcae027a,NEUTRAL 透氣防潑水綁帶奶油餅乾鞋(36-42),版 型 標準版(照原本尺寸購買)   產 地 台灣   鞋 面 防潑水厚織帆布面料   內 裏 除臭活性碳乳膠鞋墊   鞋 底 橡膠防滑刻紋底   重 量 990公克 跟 型     筒 高  筒 圍  踝,https://www.fmshoes.com.tw/products/629ef730ec8d8342fcae0267?variation=629ef731ec8d8342fcae027a,https://img.shoplineapp.com/media/image_clips/66fb9bfabc2cf00011fd2135/original.jpg?1727765497,1180 TWD,in stock,new
629ef730ec8d8342fcae0267:629ef731ec8d8342fcae027c,NEUTRAL 透氣防潑水綁帶奶油餅乾鞋(36-42),版 型 標準版(照原本尺寸購買)   產 地 台灣   鞋 面 防潑水厚織帆布面料   內 裏 除臭活性碳乳膠鞋墊   鞋 底 橡膠防滑刻紋底   重 量 990公克 跟 型     筒 高  筒 圍  踝,https://www.fmshoes.com.tw/products/629ef730ec8d8342fcae0267?variation=629ef731ec8d8342fcae027c,https://img.shoplineapp.com/media/image_clips/66fb9bfabc2cf00011fd2135/original.jpg?1727765497,1180 TWD,in stock,new
629ef7b2ec8d8342fcae0999:629ef7b2ec8d8342fcae09a2,FM SHOES 鋸齒馬銜釦樂福鞋 杏(36-42),版 型 標準版(但腳版偏寬偏肉喜歡舒適可以大一號)   產 地 韓國設計，中國製   鞋 面 超纖皮料   內 裏 透氣人造豚皮鞋墊+舒適乳膠內墊   鞋 底 橡膠防滑刻紋底   重 量 850公克 跟 型     筒 高,https://www.fmshoes.com.tw/products/629ef7b2ec8d8342fcae0999?variation=629ef7b2ec8d8342fcae09a2,https://img.shoplineapp.com/media/image_clips/63918cbe5470e000132eac6a/original.jpg?1670483134,1480 TWD,in stock,new
629ef7b2ec8d8342fcae0999:629ef7b2ec8d8342fcae09a4,FM SHOES 鋸齒馬銜釦樂福鞋 杏(36-42),版 型 標準版(但腳版偏寬偏肉喜歡舒適可以大一號)   產 地 韓國設計，中國製   鞋 面 超纖皮料   內 裏 透氣人造豚皮鞋墊+舒適乳膠內墊   鞋 底 橡膠防滑刻紋底   重 量 850公克 跟 型     筒 高,https://www.fmshoes.com.tw/products/629ef7b2ec8d8342fcae0999?variation=629ef7b2ec8d8342fcae09a4,https://img.shoplineapp.com/media/image_clips/63918cbe5470e000132eac6a/original.jpg?1670483134,1480 TWD,in stock,new
629ef7b2ec8d8342fcae0999:629ef7b2ec8d8342fcae09a6,FM SHOES 鋸齒馬銜釦樂福鞋 杏(36-42),版 型 標準版(但腳版偏寬偏肉喜歡舒適可以大一號)   產 地 韓國設計，中國製   鞋 面 超纖皮料   內 裏 透氣人造豚皮鞋墊+舒適乳膠內墊   鞋 底 橡膠防滑刻紋底   重 量 850公克 跟 型     筒 高,https://www.fmshoes.com.tw/products/629ef7b2ec8d8342fcae0999?variation=629ef7b2ec8d8342fcae09a6,https://img.shoplineapp.com/media/image_clips/63918cbe5470e000132eac6a/original.jpg?1670483134,1480 TWD,in stock,new
629ef7b2ec8d8342fcae0999:629ef7b2ec8d8342fcae09a8,FM SHOES 鋸齒馬銜釦樂福鞋 杏(36-42),版 型 標準版(但腳版偏寬偏肉喜歡舒適可以大一號)   產 地 韓國設計，中國製   鞋 面 超纖皮料   內 裏 透氣人造豚皮鞋墊+舒適乳膠內墊   鞋 底 橡膠防滑刻紋底   重 量 850公克 跟 型     筒 高,https://www.fmshoes.com.tw/products/629ef7b2ec8d8342fcae0999?variation=629ef7b2ec8d8342fcae09a8,https://img.shoplineapp.com/media/image_clips/63918cbe5470e000132eac6a/original.jpg?1670483134,1480 TWD,in stock,new
629ef7b2ec8d8342fcae0999:629ef7b2ec8d8342fcae09aa,FM SHOES 鋸齒馬銜釦樂福鞋 杏(36-42),版 型 標準版(但腳版偏寬偏肉喜歡舒適可以大一號)   產 地 韓國設計，中國製   鞋 面 超纖皮料   內 裏 透氣人造豚皮鞋墊+舒適乳膠內墊   鞋 底 橡膠防滑刻紋底   重 量 850公克 跟 型     筒 高,https://www.fmshoes.com.tw/products/629ef7b2ec8d8342fcae0999?variation=629ef7b2ec8d8342fcae09aa,https://img.shoplineapp.com/media/image_clips/63918cbe5470e000132eac6a/original.jpg?1670483134,1480 TWD,in stock,new
